,,,,
,,,,
,RETAILER NAME ,REFERENCE SIM,TELEPHONE,IP ADRESSE
,LA TOUR DES ANGES,8922801092156755030F,,
,BLUE TURTLE CANARIE BAR,8922801092156753472F,,
,UNIVERS DES MARIES,8922801092156753548F,,
,SRAMCO MARINA,8922801092156753662F,,
,INDIGO ETS,8922801092156754678F,,
,EPIC,8922801092156754819f,,
,RO SHOP,8922801092156754751F,,
,LEA SHOP,8922801092156754785F,,
,JAUDIMAD CENTER,8922801092156754975F,,
,THE CARTEL,8922801092156755105F,,
,GAUDETE,8922801092156755113F,,
,MISS RAY,8922801092156754777F,,
,PHARMACIE ALTA AGOE ,8922801092156753571F,,
,MINOU,8922801092156754967F,,
,LEOPOLD TSABA,8922801092156754611F,,
,PATRICK COLLECTION,8922801092156754769F,,
,RAMCO ADIDOGOME,8922801092156754793,,
,ETS MY SUN,8922801042390706653F,,
,LA NOBLESSE,8922801042390706844F,,
,CHEVAL BLANC IMMOBILIER,8922801042390706679F,,
,MAISON DES BIJOUX,8922801042390706562F,,
,ETS SYLCHRIST MAWUPEMON,8922801042390706729f,,
,TOKUMBO,8922801042390707107F,,
,BAUTY-FULL BAGUIDA,8922801042390706851F,,
,BEAUTY-FULL CASSABLANCA,8922801042390706877F,,
,LOLO ANDOCHE 2 FEVRIER,8922801042390706919F,,
,LOLO ANDOCHE ASSIVITO,8922801092156701463F,,
,SOMMET DE LA PYRAMIDE,8922801042390706943F,,
,MKG RELOOKING AKODESSEWA,8922801042390706604F,,
,MKG RELOOKING GBLEKOME,8922801042390707099F,,
,ROYAL Hôtel,8922801042390706737F,,
,K B COSMETIC ET SPA EM,8922801042388861379F,,
,GOD KNOW EXPRESS,8922801042388861411F,,
,MADIBA,8922801042390706620F,,
,MOUNA BOUTIQUE,8922801042390706760F,,
,BSK AUTOMOBILE,8922801042390706612F,,
,DYS FASHION,8922801042390706802F,,
,FLAV-OURS CASSABLANCA,8922801042390707467F,,
,DSKA E AGOE ,8922801092156754991F,,
,SRAMCO MARINA,8922801092156755154F,,
,MESA VERDE ,8922801042388861601F,,
,CO-TO AUTO,8922801042390706588F,,
,PERLE  HAIR AGOE,8922801042390706570F,,
,CELESKA,8922801042390706901F,,
,AUTHENTIQUE MILLIARDAIRE,8922801042390706778F,,
,MICALEX OPTIQUE,8922801042390706810,,
,NGT ZANGERA,8922801042390706950F,,
,NGT SEGBE,8922801042390706711F,,
,HOTEL ALEHERI,8922801042390706885F,,
